SN,lat,lon
229,43.16777555179283,-79.04325426693227
230,43.167054134203546,-79.04306814195391
231,43.16646143354495,-79.04425671513414
232,43.16749948948291,-79.04454858238387
241,43.0810135272123,-79.06814095346905
242,43.08133149549918,-79.06932309942717
243,43.08062262123746,-79.06913384406353
244,43.08004906441394,-79.06960087645196
245,43.080107920181035,-79.06853882740177
246,43.08027769038181,-79.06901510327562
247,43.08027661906762,-79.06704638597228
248,43.117310482254695,-79.05965085803759
249,43.08308770846396,-79.07144797492164
250,43.117635219023775,-79.05882979557781
251,43.117947418742084,-79.06042406711693
252,43.11839607232441,-79.05951592600334
253,43.08591870458792,-79.0690752833714
255,43.09710391041893,-79.03810951466859
