year,date,lat,lon,t
2024,260.9734375,43.1677,-79.04317,2024-09-16T23:21:45.000000Z
2024,260.9734490740741,43.1677,-79.04317,2024-09-16T23:21:46.000000Z
2024,260.97346064814815,43.1677,-79.04317,2024-09-16T23:21:47.000000Z
2024,260.9734722222222,43.16771,-79.04317,2024-09-16T23:21:48.000000Z
2024,260.97349537037036,43.16771,-79.04317,2024-09-16T23:21:50.000000Z
2024,260.97350694444447,43.16771,-79.04317,2024-09-16T23:21:51.000000Z
2024,260.9735185185185,43.16771,-79.04317,2024-09-16T23:21:52.000000Z
2024,260.97353009259257,43.16772,-79.04317,2024-09-16T23:21:53.000000Z
2024,260.9735416666667,43.16772,-79.04316,2024-09-16T23:21:54.000000Z
2024,260.9735532407407,43.16772,-79.04316,2024-09-16T23:21:55.000000Z
2024,260.97356481481484,43.16772,-79.04316,2024-09-16T23:21:56.000000Z
2024,260.9735763888889,43.16772,-79.04315,2024-09-16T23:21:57.000000Z
2024,260.97358796296294,43.16772,-79.04315,2024-09-16T23:21:58.000000Z
2024,260.97359953703705,43.16772,-79.04315,2024-09-16T23:21:59.000000Z
2024,260.9736111111111,43.16772,-79.04315,2024-09-16T23:22:00.000000Z
2024,260.97362268518515,43.16772,-79.04315,2024-09-16T23:22:01.000000Z
2024,260.97363425925926,43.16772,-79.04315,2024-09-16T23:22:02.000000Z
2024,260.9736458333333,43.16772,-79.04315,2024-09-16T23:22:03.000000Z
2024,260.9736574074074,43.16773,-79.04315,2024-09-16T23:22:04.000000Z
2024,260.9838657407407,43.16771,-79.04341,2024-09-16T23:36:46.000000Z
2024,260.9838773148148,43.16771,-79.04341,2024-09-16T23:36:47.000000Z
2024,260.9838888888888,43.16772,-79.04342,2024-09-16T23:36:48.000000Z
2024,260.98390046296294,43.16772,-79.04343,2024-09-16T23:36:49.000000Z
2024,260.983912037037,43.16772,-79.04344,2024-09-16T23:36:50.000000Z
2024,260.9839236111111,43.16772,-79.04344,2024-09-16T23:36:51.000000Z
2024,260.98393518518515,43.16772,-79.04345,2024-09-16T23:36:52.000000Z
2024,260.9839467592592,43.16773,-79.04346,2024-09-16T23:36:53.000000Z
2024,260.9839583333333,43.16773,-79.04347,2024-09-16T23:36:54.000000Z
2024,260.98396990740736,43.16773,-79.04347,2024-09-16T23:36:55.000000Z
2024,260.98398148148146,43.16774,-79.04346,2024-09-16T23:36:56.000000Z
2024,260.9839930555555,43.16775,-79.04346,2024-09-16T23:36:57.000000Z
2024,260.98400462962957,43.16775,-79.04344,2024-09-16T23:36:58.000000Z
2024,260.9840162037037,43.16775,-79.04344,2024-09-16T23:36:59.000000Z
2024,260.9840277777778,43.16775,-79.04343,2024-09-16T23:37:00.000000Z
2024,260.98403935185183,43.16775,-79.04341,2024-09-16T23:37:01.000000Z
