year,date,lat,lon,t
2024,260.5621990740741,43.08009,-79.06842,2024-09-16T13:29:34.000000Z
2024,260.56221064814815,43.08008,-79.06842,2024-09-16T13:29:35.000000Z
2024,260.56222222222226,43.08006,-79.06838,2024-09-16T13:29:36.000000Z
2024,260.5622337962963,43.08007,-79.06838,2024-09-16T13:29:37.000000Z
2024,260.56224537037036,43.08007,-79.06839,2024-09-16T13:29:38.000000Z
2024,260.56225694444447,43.08005,-79.06836,2024-09-16T13:29:39.000000Z
2024,260.5622685185185,43.08006,-79.06838,2024-09-16T13:29:40.000000Z
2024,260.56228009259263,43.08005,-79.06837,2024-09-16T13:29:41.000000Z
2024,260.5622916666667,43.08008,-79.06842,2024-09-16T13:29:42.000000Z
2024,260.56230324074073,43.08006,-79.06839,2024-09-16T13:29:43.000000Z
2024,260.56231481481484,43.08007,-79.06839,2024-09-16T13:29:44.000000Z
2024,260.5623263888889,43.08006,-79.06838,2024-09-16T13:29:45.000000Z
2024,260.562337962963,43.08006,-79.06838,2024-09-16T13:29:46.000000Z
2024,260.56234953703705,43.08004,-79.06835,2024-09-16T13:29:47.000000Z
2024,260.5623611111111,43.08002,-79.06832,2024-09-16T13:29:48.000000Z
2024,260.5623726851852,43.08003,-79.06834,2024-09-16T13:29:49.000000Z
2024,260.56238425925926,43.08001,-79.06831,2024-09-16T13:29:50.000000Z
2024,260.56239583333337,43.08003,-79.06833,2024-09-16T13:29:51.000000Z
2024,260.5624074074074,43.08001,-79.06832,2024-09-16T13:29:52.000000Z
2024,260.56241898148147,43.08002,-79.06832,2024-09-16T13:29:53.000000Z
2024,260.5624305555556,43.08,-79.06829,2024-09-16T13:29:54.000000Z
2024,260.56244212962963,43.07998,-79.06827,2024-09-16T13:29:55.000000Z
2024,260.56245370370374,43.07998,-79.06828,2024-09-16T13:29:56.000000Z
2024,260.5624652777778,43.07997,-79.06826,2024-09-16T13:29:57.000000Z
2024,260.56247685185184,43.07997,-79.06829,2024-09-16T13:29:58.000000Z
2024,260.56248842592595,43.07997,-79.06826,2024-09-16T13:29:59.000000Z
2024,260.5625,43.07997,-79.06827,2024-09-16T13:30:00.000000Z
2024,260.56251157407405,43.08002,-79.0683,2024-09-16T13:30:01.000000Z
2024,260.56252314814816,43.08002,-79.06831,2024-09-16T13:30:02.000000Z
2024,260.5625347222222,43.08002,-79.06832,2024-09-16T13:30:03.000000Z
2024,260.5625462962963,43.08002,-79.06832,2024-09-16T13:30:04.000000Z
2024,260.56255787037037,43.08003,-79.06832,2024-09-16T13:30:05.000000Z
2024,260.5625694444444,43.08003,-79.06832,2024-09-16T13:30:06.000000Z
2024,260.56258101851853,43.08003,-79.06833,2024-09-16T13:30:07.000000Z
2024,260.5625925925926,43.08004,-79.06834,2024-09-16T13:30:08.000000Z
2024,260.5626041666667,43.08004,-79.06834,2024-09-16T13:30:09.000000Z
2024,260.56261574074074,43.08005,-79.06835,2024-09-16T13:30:10.000000Z
2024,260.5626273148148,43.08005,-79.06835,2024-09-16T13:30:11.000000Z
2024,260.5626388888889,43.08006,-79.06835,2024-09-16T13:30:12.000000Z
2024,260.56265046296295,43.08006,-79.06837,2024-09-16T13:30:13.000000Z
2024,260.56266203703706,43.08006,-79.06838,2024-09-16T13:30:14.000000Z
2024,260.5626736111111,43.08006,-79.06838,2024-09-16T13:30:15.000000Z
2024,260.56268518518516,43.08006,-79.06839,2024-09-16T13:30:16.000000Z
2024,260.56269675925927,43.08006,-79.06839,2024-09-16T13:30:17.000000Z
2024,260.5627083333333,43.08006,-79.06841,2024-09-16T13:30:18.000000Z
2024,260.5627199074074,43.08006,-79.06842,2024-09-16T13:30:19.000000Z
2024,260.5627314814815,43.08005,-79.06842,2024-09-16T13:30:20.000000Z
2024,260.56274305555553,43.08005,-79.06842,2024-09-16T13:30:21.000000Z
2024,260.56275462962964,43.08005,-79.06843,2024-09-16T13:30:22.000000Z
2024,260.5627662037037,43.08005,-79.06843,2024-09-16T13:30:23.000000Z
2024,260.5627777777778,43.08005,-79.06844,2024-09-16T13:30:24.000000Z
2024,260.56278935185185,43.08007,-79.06845,2024-09-16T13:30:25.000000Z
2024,260.5628009259259,43.08007,-79.06845,2024-09-16T13:30:26.000000Z
2024,260.5628125,43.08008,-79.06846,2024-09-16T13:30:27.000000Z
2024,260.56282407407406,43.08009,-79.06847,2024-09-16T13:30:28.000000Z
2024,260.56283564814817,43.0801,-79.06847,2024-09-16T13:30:29.000000Z
2024,260.5628472222222,43.0801,-79.06847,2024-09-16T13:30:30.000000Z
2024,260.56285879629627,43.08011,-79.06847,2024-09-16T13:30:31.000000Z
2024,260.5628703703704,43.08012,-79.06847,2024-09-16T13:30:32.000000Z
2024,260.5628819444444,43.08013,-79.06847,2024-09-16T13:30:33.000000Z
2024,260.56289351851854,43.08013,-79.06847,2024-09-16T13:30:34.000000Z
2024,260.5629050925926,43.08013,-79.06846,2024-09-16T13:30:35.000000Z
2024,260.5629166666667,43.08014,-79.06846,2024-09-16T13:30:36.000000Z
2024,260.56292824074075,43.08015,-79.06847,2024-09-16T13:30:37.000000Z
2024,260.5629398148148,43.08016,-79.06847,2024-09-16T13:30:38.000000Z
2024,260.5629513888889,43.08016,-79.06847,2024-09-16T13:30:39.000000Z
2024,260.56296296296296,43.08017,-79.06848,2024-09-16T13:30:40.000000Z
2024,260.56297453703706,43.08018,-79.06849,2024-09-16T13:30:41.000000Z
2024,260.5629861111111,43.08019,-79.06849,2024-09-16T13:30:42.000000Z
2024,260.56299768518517,43.0802,-79.06849,2024-09-16T13:30:43.000000Z
2024,260.5630092592593,43.0802,-79.0685,2024-09-16T13:30:44.000000Z
2024,260.5630208333333,43.0802,-79.06851,2024-09-16T13:30:45.000000Z
